,hotel,arrival_date_month,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,deposit_type,customer_type,reservation_status,reservation_status_date
72,1,5,2,136,5,3,0,0,0,2,1,125
73,1,5,0,52,6,3,0,0,0,2,1,125
74,1,5,0,136,6,3,0,0,0,2,0,101
75,1,5,0,52,6,3,0,0,0,2,1,126
76,1,5,0,136,6,3,4,4,0,2,0,89
77,1,5,0,136,6,3,0,0,0,2,1,127
78,1,5,0,44,5,3,0,0,0,2,1,127
79,1,5,0,136,5,3,3,3,0,2,1,131
80,1,5,0,57,5,3,0,0,0,0,1,132
81,1,5,0,136,5,3,0,0,0,0,0,83
82,1,5,0,60,5,3,0,0,0,0,1,133
83,1,5,2,136,3,1,0,0,0,2,0,101
84,1,5,2,60,5,3,4,4,0,0,1,133
85,1,5,2,60,5,3,4,4,0,0,1,137
86,1,5,0,60,6,3,5,5,0,2,1,137
87,1,5,0,136,5,3,0,0,0,2,0,55
88,1,5,0,60,6,3,0,2,0,2,1,124
89,1,5,0,136,6,3,0,2,0,2,1,124
90,1,5,0,52,6,3,0,2,0,2,1,124
91,1,5,0,136,6,3,4,4,0,2,1,124
92,1,5,0,170,6,3,2,2,0,2,1,124
93,1,5,0,16,6,3,0,0,0,2,1,124
94,1,5,0,136,6,3,0,0,0,2,0,89
95,1,5,0,136,6,3,0,0,0,2,0,119
96,1,5,0,136,6,3,5,5,0,2,0,78
97,1,5,2,52,5,3,4,4,0,2,1,130
98,1,5,0,136,6,3,3,3,0,2,1,130
99,1,5,0,44,3,1,4,4,0,2,1,130
100,1,5,0,52,3,1,0,2,0,2,1,127
101,1,5,0,57,5,3,3,3,0,2,1,127
102,1,5,0,57,5,3,5,5,0,2,1,130
103,1,5,0,136,6,3,0,2,0,2,1,130
104,1,5,0,136,6,3,4,4,0,2,1,131
105,1,5,0,136,6,3,7,7,0,2,0,101
106,1,5,2,136,3,1,3,3,0,2,0,84
107,1,5,0,136,6,3,0,0,0,2,0,61
108,1,5,0,136,5,3,0,0,0,2,1,131
109,1,5,0,136,6,3,0,0,0,2,1,131
110,1,5,0,30,6,3,3,3,0,2,1,131
111,1,5,2,136,6,3,4,5,0,2,1,131
112,1,5,0,60,6,3,0,0,0,2,1,131
113,1,5,0,136,6,3,4,4,0,2,1,132
114,1,5,0,136,6,3,4,4,0,2,0,77
115,1,5,0,136,6,3,0,0,0,2,1,132
116,1,5,0,60,5,3,3,3,0,0,1,134
117,1,5,0,136,5,3,3,3,0,0,1,134
118,1,5,2,136,3,1,3,3,0,2,1,134
119,1,5,0,136,6,3,7,6,0,2,1,125
120,1,5,0,136,5,3,3,2,0,0,1,125
121,1,5,2,136,6,3,0,0,0,2,0,92
122,1,5,0,136,3,1,4,6,0,2,2,124
123,1,5,0,136,6,3,0,0,0,2,0,78
124,1,5,0,136,6,3,3,3,0,2,0,108
125,1,5,1,136,1,1,7,7,0,2,1,125
126,1,5,0,52,6,3,4,4,0,2,1,125
127,1,5,0,57,6,3,0,2,0,3,1,126
128,1,5,0,136,6,3,0,0,0,2,1,126
129,1,5,0,57,6,3,0,0,0,3,1,126
130,1,5,0,57,6,3,0,2,0,3,1,126
131,1,5,0,52,6,3,0,2,0,2,1,126
132,1,5,0,136,6,3,3,3,0,2,0,121
133,1,5,0,52,6,3,0,2,0,2,1,126
134,1,5,0,44,6,3,0,0,0,2,1,126
135,1,5,0,136,6,3,0,3,0,2,1,126
136,1,5,0,136,6,3,0,4,0,2,1,126
137,1,5,0,44,6,3,0,0,0,2,1,126
139,1,5,0,136,3,1,6,6,0,2,1,126
140,1,5,2,136,6,3,6,6,0,2,1,127
141,1,5,0,57,6,3,3,4,0,2,1,127
142,1,5,0,52,6,3,3,3,0,2,1,129
143,1,5,0,35,5,3,0,3,0,2,1,130
144,1,5,0,52,6,3,4,4,0,2,1,130
145,1,5,0,136,6,3,4,4,0,2,1,130
146,1,5,0,52,6,3,7,7,0,2,1,131
147,1,5,0,136,6,3,0,0,0,2,1,131
148,1,5,0,136,6,3,7,7,0,2,0,109
149,1,5,2,136,5,3,3,3,0,2,0,69
150,1,5,2,136,3,1,2,2,0,2,1,132
151,1,5,0,77,6,3,5,5,0,2,1,132
152,1,5,2,136,6,3,0,0,0,2,0,42
153,1,5,0,52,5,3,4,4,0,2,1,132
154,1,5,0,30,6,3,7,7,0,2,1,134
155,1,5,0,136,5,3,3,3,0,2,1,135
156,1,5,0,136,3,1,3,2,0,2,1,135
157,1,5,0,60,5,3,3,3,0,0,1,136
158,1,5,2,60,5,3,0,0,0,0,1,139
159,1,5,2,60,5,3,3,3,0,0,1,139
160,1,5,0,136,6,3,6,6,0,2,1,131
161,1,5,0,136,6,3,0,2,0,2,1,130
162,1,5,0,170,6,3,6,6,0,2,1,130
163,1,5,0,35,5,3,3,3,0,2,1,130
164,1,5,2,30,3,1,6,6,0,2,1,130
165,1,5,0,136,6,3,3,4,0,2,1,130
166,1,5,0,170,6,3,6,6,0,2,1,130
167,1,5,0,136,6,3,0,7,0,2,1,126
168,1,5,0,136,3,1,4,7,0,2,1,126
169,1,5,0,136,3,1,0,4,0,2,1,127
170,1,5,0,136,6,3,0,4,0,2,1,128
171,1,5,0,170,6,3,3,5,0,2,1,128
172,1,5,0,67,6,3,3,3,0,2,1,129
173,1,5,2,136,6,3,4,4,0,2,0,96
174,1,5,2,136,5,3,0,4,0,2,1,130
175,1,5,0,136,6,3,0,2,0,2,1,130
176,1,5,0,136,6,3,4,4,0,2,1,131
177,1,5,2,136,3,1,5,5,0,2,1,131
178,1,5,2,52,6,3,0,2,0,2,1,132
179,1,5,0,136,6,3,4,4,0,2,1,132
180,1,5,2,136,6,3,6,6,0,2,1,133
181,1,5,2,136,5,3,0,0,0,2,0,117
182,1,5,0,60,5,3,0,0,0,0,1,133
183,1,5,2,136,6,3,0,2,0,2,1,134
184,1,5,0,136,6,3,3,3,0,2,0,79
185,1,5,0,60,5,3,0,0,0,2,1,136
186,1,5,0,60,5,3,3,3,0,2,1,136
187,1,5,2,136,3,1,5,5,0,2,1,136
188,1,5,2,60,5,3,3,3,0,0,1,136
189,1,5,0,57,3,1,0,0,0,2,1,137
190,1,5,0,82,5,3,3,3,0,0,1,140
191,1,5,0,60,5,3,0,0,0,0,1,140
192,1,5,0,136,5,3,3,3,0,2,1,133
193,1,5,0,136,6,3,0,0,0,2,0,73
194,1,5,0,52,6,3,0,0,0,2,1,130
195,1,5,2,136,3,1,5,5,0,2,1,130
196,1,5,0,136,3,1,0,0,0,2,1,127
197,1,5,0,136,6,3,0,4,0,2,1,127
198,1,5,0,60,6,3,0,0,0,2,1,128
199,1,5,2,136,3,1,2,2,0,2,1,128
201,1,5,0,52,6,3,7,7,0,2,1,131
202,1,5,0,136,6,3,3,3,0,2,1,131
203,1,5,2,170,5,3,3,4,0,2,1,131
204,1,5,0,124,3,1,0,0,0,2,1,131
205,1,5,2,136,5,3,0,0,0,2,0,91
206,1,5,2,136,6,3,4,4,0,2,0,53
207,1,5,0,77,5,3,3,3,0,2,1,134
208,1,5,0,136,5,3,0,0,0,0,0,39
209,1,5,2,77,5,3,3,3,0,0,1,141
210,1,5,0,60,6,3,4,4,0,2,1,131
211,1,5,0,136,6,3,0,0,0,2,1,132
212,1,5,0,52,6,3,0,0,0,2,1,132
213,1,5,0,136,6,3,0,0,0,2,0,91
214,1,5,0,52,6,3,3,3,0,2,1,132
215,1,5,0,136,5,3,0,0,0,2,1,132
216,1,5,0,136,6,3,0,0,0,2,0,119
217,1,5,0,136,5,3,0,0,0,2,1,129
218,1,5,0,136,2,0,0,0,0,2,0,128
220,1,5,0,30,2,0,0,5,0,2,1,130
221,1,5,0,136,3,1,0,0,0,2,0,91
222,1,5,0,136,3,1,4,4,0,2,1,134
223,1,5,2,136,5,3,3,3,0,0,0,55
224,1,5,0,60,6,3,4,5,0,2,1,135
225,1,5,2,60,5,3,3,3,0,0,1,135
226,1,5,2,136,6,3,4,4,0,2,1,135
227,1,5,0,77,3,1,0,0,0,2,1,136
228,1,5,0,47,6,3,4,4,0,3,1,137
229,1,5,0,47,6,3,4,4,0,3,1,137
230,1,5,0,136,6,3,2,2,0,2,1,130
231,1,5,0,7,3,1,0,2,0,2,1,131
232,1,5,0,136,3,1,7,6,0,2,1,131
233,1,5,0,136,3,1,3,3,0,2,0,95
234,1,5,0,136,6,3,2,2,0,2,0,108
235,1,5,0,136,6,3,6,6,0,2,0,108
236,1,5,0,136,6,3,0,0,0,2,1,132
237,1,5,0,136,6,3,0,0,0,2,0,114
238,1,5,0,136,6,3,0,0,0,2,0,118
239,1,5,0,141,3,1,0,0,0,2,1,133
240,1,5,0,155,6,3,0,0,0,2,1,134
241,1,5,0,134,5,3,0,0,0,2,1,134
242,1,5,0,57,5,3,0,3,0,2,1,136
243,1,5,0,60,5,3,0,0,0,0,1,136
244,1,5,0,60,5,3,4,4,0,0,1,136
245,1,5,2,60,5,3,4,4,0,0,1,136
246,1,5,2,136,6,3,0,0,0,2,1,136
247,1,5,2,136,6,3,0,0,0,2,0,78
248,1,5,0,170,3,1,0,0,0,2,1,131
249,1,5,0,136,6,3,0,0,0,2,1,132
250,1,5,0,136,6,3,0,0,0,2,1,132
251,1,5,0,136,6,3,0,0,0,2,1,132
252,1,5,0,136,6,3,0,0,0,2,1,132
253,1,5,0,136,6,3,0,0,0,2,1,132
254,1,5,2,136,6,3,6,6,0,2,1,132
255,1,5,0,136,6,3,3,3,0,2,1,132
257,1,5,0,60,6,3,2,2,0,2,1,133
258,1,5,0,12,3,1,0,2,0,2,1,133
259,1,5,0,60,6,3,4,4,0,2,1,133
260,1,5,1,136,3,1,5,5,0,3,1,134
262,1,5,0,136,6,3,4,4,0,2,0,119
263,1,5,0,134,6,3,0,0,0,2,1,135
264,1,5,2,136,3,1,2,2,0,2,1,135
265,1,5,0,53,6,3,6,6,0,2,1,135
266,1,5,2,136,6,3,0,0,0,2,1,137
267,1,5,2,136,3,1,3,3,0,2,1,137
268,1,5,2,136,6,3,3,3,0,2,1,137
269,1,5,2,136,6,3,4,4,0,2,1,137
270,1,5,2,141,5,3,4,4,0,2,1,137
271,1,5,2,60,6,3,5,5,0,2,1,137
272,1,5,1,136,5,3,2,2,0,2,1,137
273,1,5,0,136,3,1,2,2,0,2,1,138
274,1,5,0,77,6,3,0,0,0,2,1,139
275,1,5,0,136,6,3,3,3,0,2,1,140
276,1,5,0,60,6,3,5,5,0,2,1,141
277,1,5,0,47,6,3,2,2,0,2,1,143
278,1,5,2,60,6,3,3,3,0,2,1,137
279,1,5,2,60,6,3,5,5,0,2,1,137
280,1,5,2,136,5,3,0,0,0,2,0,92
281,1,5,0,52,6,3,0,0,0,2,1,136
282,1,5,0,136,3,3,0,0,0,2,1,137
283,1,5,0,136,6,3,4,4,0,2,0,100
284,1,5,2,136,5,3,3,3,0,2,1,137
285,1,5,0,52,6,3,0,0,0,2,1,137
286,1,5,0,136,3,1,4,4,0,2,1,138
287,1,5,0,136,6,3,0,0,0,2,0,61
288,1,5,0,60,6,3,4,4,0,2,1,135
289,1,5,0,136,6,3,4,4,0,2,1,135
290,1,5,0,43,6,3,4,4,0,2,1,135
291,1,5,0,60,3,1,0,0,0,2,1,132
292,1,5,2,44,6,3,0,0,0,2,1,132
293,1,5,0,52,3,1,6,6,0,2,1,132
294,1,5,0,52,6,3,0,0,0,2,1,132
295,1,5,2,136,2,0,0,0,0,2,1,133
296,1,5,0,52,5,3,0,0,0,2,1,133
297,1,5,0,140,6,3,2,2,0,2,1,133
298,1,5,0,136,6,3,4,5,0,2,1,134
299,1,5,0,52,6,3,0,0,0,2,1,134
300,1,5,0,136,5,3,3,3,0,2,1,138
301,1,5,2,136,6,3,0,0,0,2,1,138
302,1,5,0,136,6,3,3,3,0,2,0,83
303,1,5,2,136,3,1,6,6,0,2,1,139
304,1,5,2,136,6,3,4,4,0,2,1,141
305,1,5,0,136,3,1,0,0,0,2,1,138
306,1,5,0,136,6,3,4,4,0,2,1,138
307,1,5,0,35,6,3,6,6,0,2,1,133
308,1,5,0,136,6,3,0,0,0,2,1,133
309,1,5,0,136,6,3,0,0,0,2,1,138
310,1,5,0,136,6,3,0,0,0,2,0,77
311,1,5,0,60,6,3,0,0,0,2,1,139
312,1,5,0,26,5,3,3,3,0,2,1,139
313,1,5,1,136,5,3,0,0,0,3,1,132
314,1,5,2,52,5,3,3,3,0,2,1,139
315,1,5,0,136,3,1,2,2,0,2,0,119
316,1,5,0,60,5,3,0,0,0,0,1,139
317,1,5,1,136,5,3,0,0,0,3,1,139
318,1,5,0,136,5,3,4,4,0,0,1,139
319,1,5,0,60,5,3,3,3,0,2,1,139
320,1,5,2,136,6,3,0,0,0,2,0,123
321,1,5,0,60,5,3,3,3,0,2,1,139
322,1,5,0,52,6,3,4,4,0,2,1,139
323,1,5,0,136,6,3,4,4,0,2,0,111
324,1,5,2,57,6,3,0,0,0,2,1,141
325,1,5,0,136,6,3,0,0,0,2,1,141
326,1,5,0,60,5,3,3,3,0,2,1,143
327,1,5,2,60,5,3,0,0,0,0,1,143
328,1,5,0,136,5,3,3,3,0,0,2,132
329,1,5,0,60,5,3,0,0,0,2,1,139
330,1,5,0,136,6,3,0,0,0,2,1,133
331,1,5,0,16,6,3,6,6,0,2,1,134
332,1,5,0,52,6,3,0,0,0,2,1,134
333,1,5,0,57,6,3,5,4,0,2,1,134
334,1,5,0,52,6,3,0,1,0,2,1,134
335,1,5,0,16,6,3,0,0,0,2,1,134
336,1,5,0,82,5,3,3,3,0,0,1,135
337,1,5,0,52,6,3,0,0,0,2,1,135
338,1,5,2,136,6,3,0,0,0,2,0,113
339,1,5,0,57,5,3,0,3,0,2,1,136
340,1,5,0,55,6,3,4,4,0,2,1,136
341,1,5,0,35,3,1,6,6,0,2,1,136
342,1,5,0,52,5,3,3,3,0,0,1,137
343,1,5,0,136,6,3,5,5,0,2,2,132
344,1,5,0,77,6,3,7,7,0,2,1,137
345,1,5,2,52,6,3,3,3,0,2,1,137
346,1,5,0,52,6,3,6,6,0,2,1,140
347,1,5,2,136,5,3,0,0,0,3,1,140
348,1,5,0,136,6,3,0,0,0,2,0,78
349,1,5,0,60,6,3,0,0,0,2,1,140
350,1,5,0,52,6,3,0,0,0,3,1,135
351,1,5,0,52,6,3,0,2,0,2,1,135
352,1,5,0,12,6,3,0,2,0,2,1,135
354,1,5,0,136,3,1,8,7,0,2,1,135
355,1,5,2,52,6,3,0,0,0,2,1,135
356,1,5,0,52,6,3,0,0,0,2,1,135
357,1,5,0,136,6,3,4,4,0,2,0,110
358,1,5,0,170,6,3,3,4,0,2,1,136
359,1,5,0,136,6,3,0,0,0,2,1,136
360,1,5,2,52,6,3,0,0,0,2,1,136
361,1,5,0,136,6,3,0,0,0,2,1,136
362,1,5,2,52,3,1,4,5,0,2,1,136
363,1,5,0,136,2,0,0,0,0,2,1,137
364,1,5,0,136,5,3,3,3,0,2,0,115
365,1,5,2,136,3,3,0,0,0,2,0,28
366,1,5,0,52,3,1,3,3,0,2,1,138
367,1,5,0,136,5,3,3,3,0,0,0,87
368,1,5,0,136,3,1,3,4,0,2,1,138
369,1,5,2,136,6,3,3,3,0,2,0,113
370,1,5,0,136,6,3,0,0,0,2,1,138
371,1,5,0,136,6,3,3,3,0,2,0,94
373,1,5,2,136,3,1,4,4,0,2,1,138
374,1,5,0,136,6,3,0,0,0,2,0,63
375,1,5,2,136,6,3,0,0,0,2,0,77
376,1,5,2,136,5,3,3,2,0,2,1,139
377,1,5,0,57,6,3,0,0,0,2,1,139
378,1,5,2,136,5,3,0,0,0,3,1,140
379,1,5,1,136,3,1,3,3,0,2,1,140
380,1,5,2,52,3,1,4,4,0,2,1,140
381,1,5,0,136,6,3,0,0,0,2,0,55
382,1,5,0,140,6,3,0,0,0,2,1,134
383,1,5,2,52,6,3,0,0,0,2,1,137
384,1,5,0,55,5,3,0,0,0,0,1,141
385,1,5,0,60,6,3,3,3,0,2,1,142
386,1,5,0,136,5,3,3,3,0,2,0,123
387,1,5,0,136,2,0,0,0,0,2,1,135
388,1,5,0,136,6,3,0,0,0,2,1,135
389,1,5,0,136,6,3,3,3,0,2,1,136
390,1,5,0,136,6,3,4,4,0,2,0,90
391,1,5,0,52,6,3,0,2,0,2,1,138
392,1,5,0,134,6,3,4,5,0,2,1,139
393,1,5,0,136,3,1,0,0,0,2,1,139
394,1,5,2,136,3,1,0,0,0,3,1,140
395,1,5,2,136,3,1,4,4,0,3,1,140
396,1,5,2,136,3,3,7,6,0,2,1,140
397,1,5,0,136,6,3,0,0,0,2,0,48
398,1,5,2,52,6,3,0,0,0,2,1,141
399,1,5,2,52,6,3,0,0,0,2,1,141
400,1,5,0,136,5,3,0,0,0,2,0,52
401,1,5,0,136,6,3,0,0,0,2,0,52
402,1,5,0,77,3,1,0,0,0,2,1,143
403,1,5,0,77,6,3,0,1,0,2,1,145
404,1,5,2,155,6,3,3,3,0,2,1,148
405,1,5,2,155,6,3,3,3,0,2,1,148
406,1,5,0,136,3,1,7,7,0,2,1,149
407,1,5,0,136,2,0,0,2,0,2,1,135
408,1,5,2,136,5,3,0,0,0,2,0,123
409,1,5,0,136,6,3,3,3,0,2,0,118
410,1,5,2,134,6,3,3,3,0,2,1,141
411,1,5,0,136,6,3,3,3,0,2,0,116
412,1,5,0,60,6,3,7,7,0,2,1,143
413,1,5,1,136,4,1,0,2,0,3,1,137
414,1,5,1,136,4,1,0,0,0,3,1,137
417,1,5,1,136,4,1,0,3,0,2,1,137
418,1,5,0,60,6,3,6,6,0,2,1,144
419,1,5,1,136,4,1,0,0,0,2,1,137
420,1,5,1,136,4,1,0,5,0,3,1,137
421,1,5,1,136,4,1,0,0,0,3,0,133
422,1,5,1,136,4,1,0,2,0,3,1,137
423,1,5,1,136,4,1,0,2,0,3,1,137
424,1,5,1,136,4,1,0,4,0,3,1,137
428,1,5,1,136,4,1,0,0,0,3,1,137
434,1,5,0,136,6,3,6,6,0,2,0,122
435,1,5,0,47,6,3,0,3,0,2,1,138
436,1,5,0,55,6,3,5,5,0,2,1,137
437,1,5,0,136,3,1,0,0,0,2,0,98
438,1,5,0,136,6,3,5,5,0,2,0,136
439,1,5,0,170,6,3,2,2,0,2,1,137
440,1,5,0,136,3,1,7,6,0,2,1,138
441,1,5,0,136,6,3,0,0,0,2,0,122
442,1,5,0,136,6,3,0,3,0,2,1,138
443,1,5,0,47,6,3,0,0,0,2,1,138
444,1,5,0,52,3,1,3,3,0,2,1,139
445,1,5,0,136,3,1,0,0,0,2,0,133
446,1,5,2,136,6,3,0,0,0,2,0,111
447,1,5,2,136,6,3,0,0,0,2,0,120
448,1,5,0,52,6,3,0,3,0,2,1,139
449,1,5,0,77,3,1,3,3,0,3,1,141
450,1,5,0,136,3,1,4,4,0,2,0,127
451,1,5,0,77,3,1,3,3,0,3,1,141
452,1,5,0,136,6,3,0,5,0,2,1,140
453,1,5,0,136,6,3,3,3,0,2,0,105
454,1,5,2,136,6,3,0,0,0,2,1,142
455,1,5,0,136,6,3,3,3,0,2,0,103
456,1,5,2,60,5,3,0,0,0,0,1,143
457,1,5,0,136,5,3,0,0,0,2,1,144
458,1,5,2,136,3,1,4,4,0,2,1,150
459,1,5,0,136,6,3,0,0,0,2,1,137
460,1,5,0,136,3,1,0,5,0,2,1,139
461,1,5,0,136,6,3,4,5,0,2,1,139
462,1,5,0,136,6,3,3,4,0,2,1,139
463,1,5,0,136,5,3,0,0,0,2,1,139
464,1,5,0,136,6,3,0,0,0,2,0,126
465,1,5,0,136,3,1,0,0,0,2,0,133
466,1,5,0,52,6,3,0,3,0,2,1,139
467,1,5,0,136,6,3,0,2,0,2,2,137
468,1,5,0,136,3,1,3,3,0,2,1,139
469,1,5,0,52,3,1,3,4,0,2,1,139
470,1,5,0,136,5,3,3,5,0,2,1,139
471,1,5,0,136,6,3,0,4,0,2,1,139
472,1,5,0,136,5,3,0,0,0,2,2,137
473,1,5,0,136,6,3,0,0,0,2,0,124
474,1,5,0,136,5,3,0,0,0,3,1,142
475,1,5,0,136,5,3,0,0,0,3,1,142
476,1,5,0,52,3,1,0,3,0,2,1,142
477,1,5,0,136,5,3,0,0,0,3,1,142
479,1,5,0,136,5,3,0,0,0,3,1,142
481,1,5,0,136,5,3,0,0,0,3,1,142
482,1,5,0,136,3,1,6,6,0,2,1,142
483,1,5,0,136,6,3,4,4,0,2,1,143
484,1,5,0,52,3,1,6,6,0,2,1,144
485,1,5,0,77,6,3,0,3,0,2,1,144
486,1,5,0,136,3,1,6,6,0,2,0,115
487,1,5,2,136,6,3,0,0,0,2,1,144
488,1,5,0,136,6,3,4,4,0,2,1,144
489,1,5,0,60,5,3,0,0,0,2,1,144
491,1,5,2,52,6,3,0,0,0,2,1,145
492,1,5,2,52,6,3,3,3,0,2,1,145
493,1,5,0,57,3,1,7,7,0,2,1,145
494,1,5,2,52,3,1,5,5,0,2,1,147
495,1,5,0,114,6,3,0,0,0,2,1,140
496,1,5,0,28,6,3,0,0,0,2,1,140
497,1,5,2,136,6,3,4,4,0,2,1,140
498,1,5,0,60,5,3,3,3,0,0,1,140
499,1,5,0,52,6,3,3,3,0,2,1,140
500,1,5,0,44,6,3,0,0,0,2,1,140
501,1,5,0,136,6,3,3,3,0,2,0,115
502,1,5,0,77,5,3,0,3,0,2,1,140
503,1,5,0,60,6,3,0,3,0,2,1,140
504,1,5,0,136,3,1,8,2,0,2,0,137
505,1,5,0,114,6,3,0,0,0,2,1,140
506,1,5,0,52,6,3,0,2,0,2,1,140
507,1,5,0,136,3,1,0,0,0,2,1,141
508,1,5,0,52,6,3,3,5,0,2,1,141
509,1,5,0,136,3,1,4,4,0,2,1,144
510,1,5,2,101,6,3,0,0,0,2,1,144
511,1,5,2,136,6,3,2,2,0,2,0,138
512,1,5,2,136,6,3,3,3,0,2,1,145
513,1,5,0,136,3,1,4,4,0,2,1,145
514,1,5,0,136,3,1,4,4,0,2,1,142
515,1,5,0,136,6,3,0,0,0,2,1,142
516,1,5,2,136,6,3,0,0,0,2,0,67
517,1,5,0,136,6,3,4,4,0,2,0,97
518,1,5,0,136,6,3,7,7,0,2,0,103
519,1,5,0,136,5,3,4,4,0,0,1,143
520,1,5,0,60,6,3,0,0,0,2,1,143
521,1,5,0,136,3,1,2,2,0,2,1,143
522,1,5,0,136,3,1,3,3,0,2,1,139
523,1,5,1,136,3,1,2,2,0,2,1,139
524,1,5,0,136,6,3,6,6,0,2,1,140
525,1,5,0,35,3,1,3,4,0,2,1,141
526,1,5,1,136,3,1,3,3,0,2,1,145
527,1,5,2,52,6,3,4,4,0,2,1,145
528,1,5,1,136,5,3,0,0,0,2,1,145
529,1,5,0,136,3,1,0,3,0,2,1,145
530,1,5,2,136,5,3,3,3,0,2,0,115
531,1,5,0,136,3,1,3,3,0,2,1,145
534,1,5,2,52,5,3,0,0,0,2,1,146
535,1,5,2,136,6,3,3,3,0,2,0,94
537,1,5,0,77,6,3,0,0,0,2,1,152
538,1,5,0,136,3,1,0,0,0,2,1,140
539,1,5,0,136,6,3,0,0,0,1,1,140
540,1,5,0,124,3,1,3,3,0,2,1,140
541,1,5,0,136,6,3,0,0,0,1,1,140
542,1,5,0,136,6,3,0,0,0,2,1,140
543,1,5,0,136,6,3,4,4,0,2,1,141
544,1,5,0,136,6,3,4,4,0,2,0,87
545,1,5,0,136,3,1,0,0,0,2,1,143
546,1,5,0,136,6,3,3,3,0,2,0,119
547,1,5,0,136,3,1,0,0,0,2,1,144
548,1,5,0,136,5,3,3,3,0,2,0,111
549,1,5,2,136,5,3,4,4,0,2,0,109
550,1,5,2,52,6,3,2,2,0,2,1,146
551,1,5,0,136,6,3,0,0,0,2,0,90
552,1,5,0,60,5,3,3,3,0,0,1,146
554,1,5,0,141,6,3,0,0,0,2,1,146
555,1,5,0,136,6,3,3,3,0,2,0,111
556,1,5,0,77,5,3,3,3,0,2,1,146
557,1,5,0,136,6,3,0,0,0,2,1,145
558,1,5,0,136,6,3,6,6,0,2,0,119
559,1,5,0,136,6,3,0,0,0,2,0,122
